id,case_name,related_case,year,maj_opinion,maj_joined,dissent_opinion,dissent_joined,importance,facts,issues,arguments,ruling,discussion,concur_opinion,concur_joined,concur2_opinion,concur2_joined,concur3_opinion,concur3_joined,dissent2_opinion,dissent2_joined,dissent3_opinion,dissent3_joined,justices_np,topic,sub_topic,law_class,law_classes
141,Barenblatt v. U.S.,,1959,93,"90,81,96,95",79,"82,92",,"* House and American Activities Committee: Individuals being held in contempt in Congress by refusing to answer questions, and then appeal",,,"* Barenblatt: Congressional committees have a right to investigate
    * The about face on the issue can be attributed to the fear of having their appellate jurisdiction taken away in cases in regard to Congressional Committees",,,,,,,,94,,,,,First Amendment,,American Constitution,American Constitution
140,Scott v. Emerson,"139,138,2",1852,,,,,"Dred Scott, Emerson’s slave, was taken out of MO to IL, to upper LA.",,,,,,,,,,,,,,,,,Slavery,,American Constitution,American Constitution
139,Strader v. Graham,"140,138,2",1851,,,,,State in which the suit is tried can apply its own laws to decide whether slaves are free (emphasis on states rights),,,,,,,,,,,,,,,,,Slavery,,American Constitution,American Constitution
138,Rachel v. Walker,"139,140,2",1836,,,,,"Slave from Missouri, resided in Wisconsin, and the MO Supreme Court upheld the “once free, always free” notion.",,,,,,,,,,,,,,,,,Slavery,,American Constitution,American Constitution
137,Rose v. Council for Better Education,,1989,,,,,,,,,,,,,,,,,,,,,,,,Law and Society,
136,Abbott v. Burke,,2008,,,,,,,,,,,,,,,,,,,,,,,,Law and Society,
135,San Antonio School District v. Rodriguez,,1973,103,"102,101,104,96",82,"100,97","* This basically killed the prospects of decades of federal civil rights litigation which could’ve been achieved using education as a battleground for equal protection-based legal reforms. The school finance reform movement would then move to the state level, with varying levels of success through the 21st century","* San Antonio Independent School District was funded by a state-funded minimum threshold system, and local property taxes for supplemental revenue. They challenged the funding scheme on behalf of families in poor districts. Reliance on assessable property caused disparities in per-pupil expenditures.

American Constitution:
* One school district was receiving less funding because it included low-income neighborhoods, and because school funding was based on property taxes.","1. Did the federal district court, in applying strict scrutiny, review the case under the correct standard of review?
2. Was the funding system rationally related to a legitimate governmental interest?",,"1. No, because education isn’t a fundamental right. It’s a privilege. The rational basis test applies. District Court reversed.
2. Yes. Passes the logical reasoning standard.",,,,,,,,,,,,,Landmark Cases,"Tiers of Scrutiny,Equal Protection",Law and Society,"Law and Society,American Constitution"
134,Shelby County v. Holder,,2013,114,"115,109,108,111",112,"113,117,116",* Gutted one of the most crucial portions of the Voting Rights Act,"* VRA 1965 enacted in response to a century of voting discrimination (legislative intent).
* Section 5: prohibits eligible districts from changing election procedures without federal authorization (would have to prove that the law won’t have the purpose or effect of impacting the right to vote)
* Section 4b: defined eligible districts as those that had voting tests in 1964
* The whole act had to be renewed every ___ years (I think 5? Check that)","* In renewing Section 5 (under the constraints of Section 4b), did Congress exceed their authority under the 14th and 15th Amendments, therefore violating the 10th Amendment’s reservation of non-federal powers to individual states?",,"* Yes. Section 4(b) is unconstitutional, as it imposes burdens that are no longer responsive to conditions in the voting districts in question.
Dissent:
* Ginsburg: Congress’ power to enforce equal protection of voting rights includes acts like VRA ‘65. Legislative history and evidence shows the relevance and precedence.
* VRA must only be shown to rationally advance a legitimate interest (no strict scrutiny triggered here)
* By holding Sec 4 unconstitutional, section 5 is unenforceable.",,,,,,,,,,,,,Voting Rights,"10th Amendment,Voting Rights",Law and Society,Law and Society
133,Shaw v. Reno,,1993,106,"107,108,111",97,"102,110,105",,"* During pre-clearance of North Carolina, the attorney general rejected the plan for the reapportionment of congressional district.
* North Carolina created a second black-majority districts that is narrow and unusually shaped.",* Did this reapportionment violent the 14th Amendment equal protection clause?,,"* Yes. ""The State had created an unconstitutional racial gerrymander""
* If a redistricting map is ""so bizarre on its face that that it is ‘unexplainable on grounds other than race’"" then the plaintiffs have a claim to relief under the 14th amendment.
* It’s unconstitutional when a law is intended to segregate by race and the segregation is not justified under strict scrutiny
Dissent:
* Case is brought by white voters challenging a district of majority black voters who elected only black representative within a majority-white state. 14th amendment was supposed to provide equal protection, not harsher scrutiny for black districts",,,,,,,,,,,,,Voting Rights,"Fourteenth Amendment,District Apportionment,10th Amendment,Voting Rights",Law and Society,Law and Society
132,Baker v. Carr,130,1962,94,"79,90,82,96,92",93,"81,95",* Political Questions Doctrine,"* Apportionment cases had often been brought under the Guaranty Clause of Art 4, section 4, which guarantees to the individual states a republican form of government.",* Can the SCOTUS hear a malapportionment claim without having to deal with a nonjusticiable political issue?,,"* Yes. Under the Equal Protection clause, the question is not political, it is about equal protection of rights, and discrimination and exclusion in reapportionment.","* Cases need to be brought under Equal Protection, not the Guaranty Clause",,,,,,,,,,,,"Judicial Review,Landmark Cases,Political Questions,Judicial Self-Restraint,Voting Rights","Equal Protection,Political Questions Doctrine,District Apportionment,Guaranty Clause,Voting Rights",Law and Society,"Law and Society,American Constitution"
