,case_name,topic,sub_topic,wiki_url,justia_link,holding
0,Dred Scott v. Sandford,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Dred_Scott_v._Sandford,https://supreme.justia.com/cases/federal/us/60/393/,"Dred Scott v. Sandford, 60 U.S. 393 (1857) People of African descent that are slaves or were slaves and subsequently freed, along with their descendants, cannot be United States citizens. Consequently, they cannot sue in federal court. Additionally, slavery cannot be prohibited in U.S. territories before they are admitted to the Union as doing so would violate the Due Process Clause of the Fifth Amendment. After the Civil War, this decision was voided by the Thirteenth and Fourteenth Amendments to the Constitution."
1,Strauder v. West Virginia,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Strauder_v._West_Virginia,https://supreme.justia.com/cases/federal/us/100/303/,"Strauder v. West Virginia, 100 U.S. 303 (1880) Exclusion of individuals from juries solely because of their race is a violation of the Equal Protection Clause. Noteworthy for being the first time that the Court had reversed a state criminal conviction for a violation of a constitutional provision concerning criminal procedure."
2,Civil Rights Cases,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Civil_Rights_Cases,https://supreme.justia.com/cases/federal/us/109/3/,"Civil Rights Cases, 109 U.S. 3 (1883) Neither the Thirteenth nor the Fourteenth Amendment empower Congress to safeguard blacks against the actions of private individuals."
3,Plessy v. Ferguson,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Plessy_v._Ferguson,https://supreme.justia.com/cases/federal/us/163/537/,"Plessy v. Ferguson, 163 U.S. 537 (1896) Segregated facilities for blacks and whites are constitutional under the doctrine of separate but equal, which holds for close to 60 years (overruled by Brown v. Board of Education (1954))."
4,New Negro Alliance v. Sanitary Grocery Co.,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/New_Negro_Alliance_v._Sanitary_Grocery_Co.,https://supreme.justia.com/cases/federal/us/303/552/,"New Negro Alliance v. Sanitary Grocery Co., 303 U.S. 552 (1938) Persons having a direct or indirect interest in terms and conditions of employment have the liberty to advertise and disseminate facts and information with respect to terms and conditions of employment, and peacefully to persuade others to concur in their views respecting an employer's practices."
5,Smith v. Allwright,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Smith_v._Allwright,https://supreme.justia.com/cases/federal/us/321/649/,"Smith v. Allwright, 321 U.S. 649 (1944) Primary elections must be open to voters of all races."
6,Korematsu v. United States,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Korematsu_v._United_States,https://supreme.justia.com/cases/federal/us/323/214/,"Korematsu v. United States, 323 U.S. 214 (1944) President Franklin D. Roosevelt's Executive Order 9066 is constitutional; therefore, American citizens of Japanese descent can be interned and deprived of their basic constitutional rights. This case featured the first application of strict scrutiny to racial discrimination by the government. The decision was possibly overruled in Trump v. Hawaii (2018)."
7,Morgan v. Virginia,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Irene_Morgan#U.S._Supreme_Court_case,https://supreme.justia.com/cases/federal/us/328/373/,"Morgan v. Virginia, 328 U.S. 373 (1946) A Virginia law that enforces segregation on interstate buses is unconstitutional."
8,Shelley v. Kraemer,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Shelley_v._Kraemer,https://supreme.justia.com/cases/federal/us/334/1/,"Shelley v. Kraemer, 334 U.S. 1 (1948) Courts may not enforce racial covenants on real estate."
9,Henderson v. United States,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Henderson_v._United_States_(1950),https://supreme.justia.com/cases/federal/us/339/816/,"Henderson v. United States, 339 U.S. 816 (1950) The Interstate Commerce Act of 1887 makes it unlawful for a railroad that engages in interstate commerce to subject any particular person to any undue or unreasonable prejudice or disadvantage in any respect whatsoever."
